id;name;description;price;shape;cake_size
1;connecting;orchestrate;56289;HEART;SMALL
2;override Soap;Rico Tennessee;26155;ROUND;SMALL
3;Borders Home;optimizing;90684;SQUARE;LARGE
4;Ramp Loan;Kip SDD;19152;HEART;SMALL
5;Pants Mozambique;dynamic;74484;SQUARE;SMALL
6;alarm;installation Kip;45527;HEART;MEDIUM
7;Developer Chair;Account SDD Chad;57127;HEART;SMALL
8;generating Liaison Plastic;content-based interfaces national;21162;HEART;MEDIUM
9;connect auxiliary;Dollar logistical;94648;ROUND;LARGE
10;navigate Tasty;National Tools navigating;20153;ROUND;LARGE
